id,level_id,title,code,options,tag
006ea0c0-2819-4677-9fe4-cf9ea3dc4332,57f173c5-9d58-4baf-af61-f6c33e226985,typeof Special Values,console.log(typeof null); console.log(typeof undefined); console.log(typeof Symbol());,"[{""key"":""A"",""lines"":[""object"",""undefined"",""symbol""],""is_correct"":true},{""key"":""B"",""lines"":[""null"",""undefined"",""symbol""],""is_correct"":false},{""key"":""C"",""lines"":[""object"",""null"",""object""],""is_correct"":false}]",js_core_v8
01cb92b7-fc38-4f65-a588-53c2b4a31465,120a5dcb-a297-4209-904a-28a534fbf8fc,Event Loop Microtask,"Promise.resolve().then(() => console.log(""micro1"")); Promise.resolve().then(() => console.log(""micro2"")); console.log(""sync"");","[{""key"":""A"",""lines"":[""sync"",""micro1"",""micro2""],""is_correct"":true},{""key"":""B"",""lines"":[""micro1"",""micro2"",""sync""],""is_correct"":false},{""key"":""C"",""lines"":[""sync"",""micro2"",""micro1""],""is_correct"":false}]",js_core_v8
0204b43f-2d90-455a-9de4-dbbea8fbc483,6807e7e4-0000-45cd-9fc0-328c60d38c98,splice vs slice,"const arr = [1, 2, 3, 4, 5]; const sliced = arr.slice(1, 3); console.log(sliced); console.log(arr.length);","[{""key"":""A"",""lines"":[""[2, 3]"",""5""],""is_correct"":true},{""key"":""B"",""lines"":[""[2, 3]"",""3""],""is_correct"":false},{""key"":""C"",""lines"":[""[1, 2, 3]"",""5""],""is_correct"":false}]",js_core_v8
038d217d-f683-404b-80d0-692e0c902e3d,57f173c5-9d58-4baf-af61-f6c33e226985,typeof Primitives,"console.log(typeof 42); console.log(typeof ""hello""); console.log(typeof true);","[{""key"":""A"",""lines"":[""number"",""string"",""boolean""],""is_correct"":true},{""key"":""B"",""lines"":[""int"",""string"",""boolean""],""is_correct"":false},{""key"":""C"",""lines"":[""number"",""text"",""bool""],""is_correct"":false}]",js_core_v8
0420a7ef-6427-4116-97d7-defa34142a90,621a99fa-161b-48ff-8248-56d053cfa5cf,this in Constructor,"function Person(name) { this.name = name; } const p = new Person(""Eve""); console.log(p.name);","[{""key"":""A"",""lines"":[""Eve""],""is_correct"":true},{""key"":""B"",""lines"":[""undefined""],""is_correct"":false},{""key"":""C"",""lines"":[""Person""],""is_correct"":false}]",js_core_v8
0643e889-3c1f-43b2-b817-9b79c0acd784,65dbc9a2-57d7-40d5-a266-a7f045f9e808,let TDZ Error,"console.log(a);
let a = 10;","[{""key"":""A"",""lines"":[""undefined""],""is_correct"":false},{""key"":""B"",""lines"":[""ReferenceError: Cannot access 'a' before initialization""],""is_correct"":true},{""key"":""C"",""lines"":[""10""],""is_correct"":false}]",js_core_v8
07803cb4-df6a-4ae1-bec6-90fa0b5fbb30,e828bcad-8531-45fe-8f26-f597176e6b4e,Observer Pattern Notify,"class Emitter { constructor() { this.listeners = {}; } on(e, fn) { (this.listeners[e] = this.listeners[e] || []).push(fn); } emit(e) { (this.listeners[e] || []).forEach(fn => fn()); } } const em = new Emitter(); em.on(""a"", () => console.log(""1"")); em.on(""a"", () => console.log(""2"")); em.emit(""a"");","[{""key"":""A"",""lines"":[""1"",""2""],""is_correct"":true},{""key"":""B"",""lines"":[""2"",""1""],""is_correct"":false},{""key"":""C"",""lines"":[""1""],""is_correct"":false}]",js_core_v8
08bdf4d3-ccba-4193-8c84-f9eb815c48ef,7bfacaa9-0ada-484b-9f37-ef63d4c0145f,Short-circuit Evaluation,"console.log(false || ""hello""); console.log(true && ""world""); console.log(null ?? ""default"");","[{""key"":""A"",""lines"":[""hello"",""world"",""default""],""is_correct"":true},{""key"":""B"",""lines"":[""false"",""true"",""null""],""is_correct"":false},{""key"":""C"",""lines"":[""hello"",""true"",""default""],""is_correct"":false}]",js_core_v8
096bcd1e-4609-4cdf-aa3e-c689ae7c09af,dba47640-7f84-4270-820f-047fe54e4515,let in Block Scope,{ let y = 20; } console.log(y);,"[{""key"":""A"",""lines"":[""ReferenceError: y is not defined""],""is_correct"":true},{""key"":""B"",""lines"":[""20""],""is_correct"":false},{""key"":""C"",""lines"":[""undefined""],""is_correct"":false}]",js_core_v8
09c1c890-d1e6-426c-9b04-4c20049ffc8e,d312e123-05ab-4d5e-b6da-a4b82f790340,Basic Array Destructuring,"const [a, b, c] = [1, 2, 3]; console.log(a); console.log(b); console.log(c);","[{""key"":""A"",""lines"":[""1"",""2"",""3""],""is_correct"":true},{""key"":""B"",""lines"":[""[1,2,3]"",""undefined"",""undefined""],""is_correct"":false},{""key"":""C"",""lines"":[""undefined"",""undefined"",""undefined""],""is_correct"":false}]",js_core_v8
09d89e46-acde-4037-a7dd-ea2830d24ae0,57f173c5-9d58-4baf-af61-f6c33e226985,Implicit Coercion,"console.log(""5"" - 2); console.log(""5"" + 2); console.log(""5"" * ""2"");","[{""key"":""A"",""lines"":[""3"",""52"",""10""],""is_correct"":true},{""key"":""B"",""lines"":[""3"",""7"",""10""],""is_correct"":false},{""key"":""C"",""lines"":[""NaN"",""52"",""NaN""],""is_correct"":false}]",js_core_v8
0b233ef4-d31f-464c-b842-5fe59bf42c87,57f173c5-9d58-4baf-af61-f6c33e226985,Symbol Uniqueness,"const s1 = Symbol(""id""); const s2 = Symbol(""id""); console.log(s1 === s2); console.log(typeof s1);","[{""key"":""A"",""lines"":[""false"",""symbol""],""is_correct"":true},{""key"":""B"",""lines"":[""true"",""symbol""],""is_correct"":false},{""key"":""C"",""lines"":[""false"",""string""],""is_correct"":false}]",js_core_v8
0bcd3893-66c9-4568-9f3e-5b4ecd648498,79b93a68-d914-43de-9d9b-ed749a2b9af8,Object.assign(),"const target = { a: 1 }; const source = { b: 2, c: 3 }; Object.assign(target, source); console.log(target);","[{""key"":""A"",""lines"":[""{ a: 1, b: 2, c: 3 }""],""is_correct"":true},{""key"":""B"",""lines"":[""{ b: 2, c: 3 }""],""is_correct"":false},{""key"":""C"",""lines"":[""{ a: 1 }""],""is_correct"":false}]",js_core_v8
